Region,Department,Arrondissement,Village,postal_code,Lat_Village,Lon_Village,Lat_Arrondissement,Lon_Arrondissement,Lat_Department,Lon_Department,Lat_Region,Lon_Region,population_2005,population_2010,population_2015,population_2020,population_2025
OUEST,KOUNG-KHI,PETE-BANDJOUN,BANDJOUN,84691,5.37878,10.41816,5.393570664780993,10.442288721650987,5.34887568926664,10.471509167206897,,,0,0,0,0,0
LITTORAL,SANAGA-MARITIME,MOUANKO,MOUANGKO,53712,3.63972,9.77694,3.605438439220657,9.826853176615419,3.6220770168755467,9.635390549760052,4.270427500514314,10.130509508906568,188,164,190,219,250
NORD-OUEST,MENCHUM,WUM,WUM,74481,6.38333,10.06667,6.37120261364011,10.080282767891262,6.591482577041567,10.068684366185005,,,4868,4253,4927,5674,6439
SUD,OCEAN,KRIBI II,KRIBI,93758,2.95,9.91667,3.01746037048,9.974016204215523,2.908154115762212,10.30469702906662,,,4342,7479,8533,9672,10796
SUD-OUEST,FAKO,MUYUKA,MUYUKA,11117,4.2898,9.4103,4.325777601433818,9.336670243241633,4.176880207621184,9.253899011492662,,,4604,3994,4599,5267,5950
SUD-OUEST,NDIAN,MUDEMBA,MUNDEMBA,16151,4.9479,8.8724,4.990339587120846,8.91277123308349,4.89107594326427,8.960709496289349,,,0,0,0,0,0
EXTREME-NORD,MAYO-TSANAGA,MOKOLO,MOKOLO,46628,10.73978,13.80188,10.631825823945428,13.847918639339369,10.533333679115419,13.745806788338358,,,2331,2054,2397,2779,4760
CENTRE,NYONG-ET-KELLE,LOLODORF,LOLODORF,28638,3.23333,10.73333,3.2691934505064655,10.692097581594703,3.714239507085398,10.818585738410327,4.670479718316163,11.826210878899634,931,813,945,1094,1251
EXTREME-NORD,MAYO-SAVA,KOZA,KOZA,45214,10.87079,13.87855,10.896038787285242,13.895646715423958,11.06469692714163,14.156709827813243,,,481,424,495,574,655
LITTORAL,SANAGA-MARITIME,NGWEI,EDÉA,53997,3.8,10.13333,3.770649200302106,10.322695192784371,3.9447540478597345,10.309718674447312,4.270427500514314,10.130509508906568,362,629,728,839,955
NORD-OUEST,BOYO,NJINIKOM,FUNDONG,71526,6.25,10.26667,6.225667874881257,10.220704496037866,6.361815187683594,10.364502639482296,,,3822,3338,3866,4452,5052
OUEST,MIFI,FOUMBOT,FOUMBOT,86433,5.50787,10.6356,5.428866928463287,10.646273886287045,5.53614316164901,10.44127314151299,,,3362,2920,3365,3857,4359
CENTRE,LEKIE,EVODOULA,ÉVODOULA,22785,4.08333,11.2,4.125965814176945,11.203632286361525,4.149623553135392,11.410254656985613,4.670479718316163,11.826210878899634,856,748,870,1007,1152
ADAMAOUA,MBERE,DJOHONG,DJOHONG,14488,6.83333,14.7,6.917732113736939,14.839191862960504,6.473257682994356,14.2128346207462,6.82571155897595,13.133156301509544,536,463,530,603,674
OUEST,HAUT-NKAM,BANA,BANA,82395,5.1481,10.2762,5.120862677886385,10.301796122063026,5.157301111756902,10.183557407875464,,,1532,1330,1532,1755,1984
NORD,MAYO-REY,REY-BOUBA,REY BOUBA,64776,8.6724,14.1786,8.7991347631511,14.364461134229646,8.108038646384532,14.477083632157669,,,1367,1196,1387,1598,1813
SUD-OUEST,FAKO,TIKO,TIKO,11256,4.0745,9.3699,4.091568445337315,9.411398248334628,4.176880207621184,9.253899011492662,,,5563,4868,5604,6419,7250
