Village,Department,Arrondissement,Region,postal_code,population,Lat_Village,Lon_Village,year
BANDJOUN,KOUNG-KHI,PETE-BANDJOUN,OUEST,84691,0,5.37878,10.41816,2020
MOUANGKO,SANAGA-MARITIME,MOUANKO,LITTORAL,53712,219,3.63972,9.77694,2020
WUM,MENCHUM,WUM,NORD-OUEST,74481,5674,6.38333,10.06667,2020
KRIBI,OCEAN,KRIBI II,SUD,93758,9672,2.95,9.91667,2020
MUYUKA,FAKO,MUYUKA,SUD-OUEST,11117,5267,4.2898,9.4103,2020
MUNDEMBA,NDIAN,MUDEMBA,SUD-OUEST,16151,0,4.9479,8.8724,2020
MOKOLO,MAYO-TSANAGA,MOKOLO,EXTREME-NORD,46628,2779,10.73978,13.80188,2020
LOLODORF,NYONG-ET-KELLE,LOLODORF,CENTRE,28638,1094,3.23333,10.73333,2020
KOZA,MAYO-SAVA,KOZA,EXTREME-NORD,45214,574,10.87079,13.87855,2020
EDÉA,SANAGA-MARITIME,NGWEI,LITTORAL,53997,839,3.8,10.13333,2020
FUNDONG,BOYO,NJINIKOM,NORD-OUEST,71526,4452,6.25,10.26667,2020
FOUMBOT,MIFI,FOUMBOT,OUEST,86433,3857,5.50787,10.6356,2020
ÉVODOULA,LEKIE,EVODOULA,CENTRE,22785,1007,4.08333,11.2,2020
DJOHONG,MBERE,DJOHONG,ADAMAOUA,14488,603,6.83333,14.7,2020
BANA,HAUT-NKAM,BANA,OUEST,82395,1755,5.1481,10.2762,2020
REY BOUBA,MAYO-REY,REY-BOUBA,NORD,64776,1598,8.6724,14.1786,2020
TIKO,FAKO,TIKO,SUD-OUEST,11256,6419,4.0745,9.3699,2020
TIGNÈRE,FARO-ET-DEO,TIGNÃ¨RE,ADAMAOUA,12592,0,7.36667,12.65,2020
SOA,MFOUNDI,SOA,CENTRE,27748,1680,3.98333,11.6,2020
BAZOU,NDE,BAZOU,OUEST,87421,593,5.05695,10.46978,2020
BANYO,MAYO-BANYO,BANYO,ADAMAOUA,13212,3855,6.75,11.81667,2020
NGOMEDZAP,NYONG-ET-SO,NGOMEDZAP,CENTRE,21296,124,3.25,11.2,2020
BÉLABO,LOM-ET-DJEREM,BÃ©LABO,EST,34497,0,4.93333,13.3,2020
BÉLEL,MBERE,BÃ©LEL,ADAMAOUA,14165,0,7.05,14.43333,2020
BATIBO,MOMO,BATIBO,NORD-OUEST,76579,1940,5.8358,9.8553,2020
MINTA,HAUTE-SANAGA,MINTA,CENTRE,21192,668,4.58333,12.8,2020
NGAMBÉ,SANAGA-MARITIME,NGAMBÃ©,LITTORAL,53899,0,4.23333,10.61667,2020
NGUTI,KUPE-MANENGUBA,NGUTI,SUD-OUEST,12751,1223,5.3299,9.4185,2020
SANGMÉLIMA,MVILA,SANGMÃ©LIMA,SUD,92453,0,2.93333,11.98333,2020
EBOLOWA,MVILA,BIWONG-BANÃ©,SUD,92243,0,2.9,11.15,2020
BAFIA,MBAM-ET-INOUBOU,BAFIA,CENTRE,23178,6394,4.75,11.23333,2020
BAFANG,HAUT-NKAM,BANKA,OUEST,82563,1970,5.15625,10.17882,2020
BAMENDA,MEZAM,BAMENDA III,NORD-OUEST,75562,0,5.95266,10.15824,2020
GAROUA BOULAÏ,MBERE,GAROUA-BOULAÃ¯,ADAMAOUA,14564,0,5.88333,14.55,2020
BOGO,DIAMARE,BOGO,EXTREME-NORD,41171,2692,10.7336,14.60928,2020
DIZANGUÉ,SANAGA-MARITIME,DIZANGUÃ©,LITTORAL,53258,0,3.76667,9.98333,2020
BAFOUSSAM,MIFI,BAFOUSSAM III,OUEST,86392,3595,5.47366,10.41786,2020
NGORO,MBAM-ET-INOUBOU,NGORO,CENTRE,23185,4070,4.95,11.38333,2020
TONGA,NDE,MAKENENE,OUEST,87627,3547,4.96667,10.7,2020
NJINIKOM,BOYO,NJINIKOM,NORD-OUEST,71526,4452,6.23333,10.28333,2020
MEÏGANGA,MBERE,MEIGANGA,ADAMAOUA,14646,2412,6.51667,14.3,2020
DIBOMBARI,WOURI,DIBOMBARI,LITTORAL,54356,817,4.1787,9.6561,2020
BUEA,FAKO,BUEA,SUD-OUEST,11235,8111,4.1527,9.241,2020
BERTOUA,LOM-ET-DJEREM,BERTOUA II,EST,34262,19608,4.57728,13.68459,2020
BATOURI,KADEI,BATOURI,EST,33158,1765,4.43333,14.36667,2020
BAMENDJOU,HAUTS-PLATEAUX,BAMENDJOU,OUEST,83376,1089,5.38875,10.33161,2020
AKONO,MEFOU-ET-AKONO,AKONO,CENTRE,26176,428,3.5,11.33333,2020
FONTEM,LEBIALEM,MENJI,SUD-OUEST,13755,0,5.4685,9.8818,2020
MINDIF,MAYO-KANI,MINDIF,EXTREME-NORD,44758,2434,10.39757,14.43626,2020
NTUI,LEKIE,NTUI,CENTRE,22346,1959,4.45,11.63333,2020
NKOTENG,HAUTE-SANAGA,NKOTENG,CENTRE,21489,468,4.51667,12.03333,2020
NKONGSAMBA,HAUT-NKAM,NKONGSAMBA II,OUEST,82543,14146,4.9547,9.9404,2020
TIBATI,DJEREM,TABATI,ADAMAOUA,11554,0,6.46667,12.63333,2020
TCHOLLIRÉ,MAYO-REY,TCHOLLIRÃ©,NORD,64832,0,8.4022,14.1698,2020
MBANGA,MOUNGO,MOMBO,LITTORAL,51764,534,4.5016,9.5671,2020
MBANG,HAUTE-SANAGA,DIANG,CENTRE,21347,897,4.58333,13.33333,2020
MBALMAYO,NYONG-ET-SO,MBALMAYO,CENTRE,21774,4090,3.51667,11.5,2020
KAÉLÉ,MAYO-KANI,KAÃ©LÃ©,EXTREME-NORD,44588,0,10.10917,14.45083,2020
AKONOLINGA,NYONG-ET-MFOUMOU,AKONOLINGA,CENTRE,29367,551,3.76667,12.25,2020
KUMBA,MEME,KUMBA II,SUD-OUEST,15651,12901,4.6363,9.4469,2020
YOKADOUMA,BOUMBA-ET-NGOKO,GARI-GOMBO,EST,31192,0,3.51667,15.05,2020
NANGA EBOKO,HAUTE-SANAGA,NANGA-EBOKO,CENTRE,21283,709,4.68333,12.36667,2020
ESÉKA,NYONG-ET-KELLE,ÃSÃ©KA,CENTRE,28644,0,3.65,10.76667,2020
MAAN,VALLEE-DU-NTEM,MA'AN,SUD,94617,341,2.35,10.61667,2020
NGAOUNDÉRÉ,VINA,NGAOUNDÃ©RÃ© II,ADAMAOUA,15875,0,7.31667,13.58333,2020
ABONG-MBANG,HAUT-NYONG,ABONG-MBANG,EST,32193,1954,3.98333,13.18333,2020
MAROUA,DIAMARE,MAROUA II,EXTREME-NORD,41621,27222,10.59095,14.31592,2020
GAROUA,BENOUE,GAROUA I,NORD,61565,30997,9.3,13.4,2020
AKOM II,OCEAN,AKOM II,SUD,93141,731,2.78333,10.56667,2020
MBANKOMO,MFOUNDI,MBANKOMO,CENTRE,27392,1155,3.78333,11.38333,2020
LOUM,MOUNGO,LOUM,LITTORAL,51421,2614,4.7182,9.7351,2020
MELONG,HAUT-NKAM,MÃ©LONG,OUEST,82148,0,5.1218,9.96143,2020
YAGOUA,MAYO-DANAY,YAGOUA,EXTREME-NORD,43642,8191,10.34107,15.23288,2020
PITOA,BENOUE,GAROUA II,NORD,61682,14370,9.38333,13.53333,2020
MBOUDA,BAMBOUTOS,MBOUDA,OUEST,81756,2088,5.62578,10.25517,2020
JAKIRI,BUI,JAKIRI,NORD-OUEST,72275,16374,6.1,10.65,2020
BONABÉRI,WOURI,DOUALA I,LITTORAL,54597,96700,4.0779,9.6759,2020
KOUSSÉRI,LOGONE-ET-CHARI,KOUSSÃ©RI,EXTREME-NORD,42615,0,12.07689,15.03063,2020
BÉTARÉ OYA,LOM-ET-DJEREM,BÃ©TARÃ©-OYA,EST,34542,0,5.6,14.08333,2020
KUMBO,BUI,KUMBO,NORD-OUEST,72311,54024,6.2,10.66667,2020
KONTCHA,FARO-ET-DEO,KONTCHA,ADAMAOUA,12235,1299,7.96667,12.23333,2020
GUIDER,MAYO-LOUTI,GUIDER,NORD,63639,2981,9.93417,13.94861,2020
FOUMBAN,NOUN,FOUMBAN,OUEST,88358,1755,5.7291,10.90011,2020
NDIKINIMÉKI,MBAM-ET-INOUBOU,NITOUKOU,CENTRE,23271,8495,4.76667,10.83333,2020
NDÉLÉLÉ,KADEI,NDÃ©LÃ©LÃ©,EST,33284,0,4.04065,14.92501,2020
YOKO,MBAM-ET-KIM,YOKO,CENTRE,24769,301,5.53333,12.31667,2020
ESSÉ,MEFOU-ET-AFAMBA,ESSE,CENTRE,25657,897,4.1,11.9,2020
MAKARI,LOGONE-ET-CHARI,HILÃ© - ALIFA,EXTREME-NORD,42586,0,12.5717,14.46662,2020
POLI,FARO,LAGDO,NORD,62357,353,8.48333,13.25,2020
LAGDO,BENOUE,BIBEMI,NORD,61256,144,9.05,13.73333,2020
DSCHANG,MENOUA,DSCHANG,OUEST,85334,2515,5.44559,10.055,2020
DOUMÉ,HAUT-NYONG,DOUMÃ©,EST,32318,0,4.23333,13.45,2020
MANJO,MOUNGO,MANJO,LITTORAL,51588,2118,4.8428,9.8217,2020
MAMFE,MANYU,MAMFE,SUD-OUEST,14357,0,5.754,9.3123,2020
OBALA,LEKIE,OBALA,CENTRE,22589,3855,4.16667,11.53333,2020
AMBAM,VALLEE-DU-NTEM,AMBAM,SUD,94151,1180,2.38333,11.28333,2020
MBENGWI,MEZAM,MBENGWI,NORD-OUEST,75626,2619,6.01667,10.0,2020
YABASSI,NKAM,YABASSI,LITTORAL,52582,442,4.45697,9.96822,2020
MORA,MAYO-SAVA,KOLOFATA,EXTREME-NORD,45198,1492,11.04611,14.14011,2020
BANGANGTÉ,NDE,BASSAMBA,OUEST,87214,199,5.14091,10.51975,2020
BALI,MEZAM,BALI,NORD-OUEST,75233,2116,5.88724,10.01248,2020
LIMBE,FAKO,LIMBÃ© I,SUD-OUEST,11598,0,4.0242,9.2149,2020
BELO,MEZAM,NJINIKOM,NORD-OUEST,75726,4452,6.13333,10.25,2020
BANKIM,MAYO-BANYO,BANKIM,ADAMAOUA,13162,3808,6.08303,11.4905,2020
NGOU,HAUTS-PLATEAUX,BANGOU,OUEST,83512,794,5.1959,10.38441,2020
SAA,LEKIE,SA'A,CENTRE,22836,2227,4.36667,11.45,2020
OMBÉSA,MBAM-ET-INOUBOU,OMBESSA,CENTRE,23437,1962,4.6,11.25,2020
