region,year,population,num_departments,num_arrondissements,num_villages
OUEST,2005,2257641,8,54,1825
OUEST,2010,2484453,8,54,1825
OUEST,2015,2863148,8,54,1825
OUEST,2020,3281162,8,54,1825
OUEST,2025,3715536,8,54,1825
LITTORAL,2005,3307272,4,33,633
LITTORAL,2010,5429808,4,33,633
LITTORAL,2015,6282008,4,33,633
LITTORAL,2020,7243524,4,33,633
LITTORAL,2025,8253745,4,33,633
NORD-OUEST,2005,1674796,7,43,664
NORD-OUEST,2010,1533955,7,43,664
NORD-OUEST,2015,1777024,7,43,664
NORD-OUEST,2020,2046376,7,43,664
NORD-OUEST,2025,2324619,7,43,664
SUD,2005,560799,4,31,1042
SUD,2010,741396,4,31,1042
SUD,2015,845850,4,31,1042
SUD,2020,958482,4,31,1042
SUD,2025,1069833,4,31,1042
SUD-OUEST,2005,1452089,6,46,959
SUD-OUEST,2010,1486784,6,46,959
SUD-OUEST,2015,1711781,6,46,959
SUD-OUEST,2020,1960644,6,46,959
SUD-OUEST,2025,2227616,6,46,959
EXTREME-NORD,2005,3071172,6,48,2848
EXTREME-NORD,2010,3145499,6,48,2848
EXTREME-NORD,2015,3672878,6,48,2848
EXTREME-NORD,2020,4260604,6,48,2848
EXTREME-NORD,2025,4891814,6,48,2848
CENTRE,2005,1810119,10,94,2308
CENTRE,2010,1694179,10,94,2308
CENTRE,2015,1969702,10,94,2308
CENTRE,2020,2281475,10,94,2308
CENTRE,2025,2613141,10,94,2308
ADAMAOUA,2005,650087,5,25,711
ADAMAOUA,2010,631552,5,25,711
ADAMAOUA,2015,723355,5,25,711
ADAMAOUA,2020,822783,5,25,711
ADAMAOUA,2025,921588,5,25,711
NORD,2005,1725375,4,30,1776
NORD,2010,1873552,4,30,1776
NORD,2015,2175896,4,30,1776
NORD,2020,2511362,4,30,1776
NORD,2025,2899355,4,30,1776
EST,2005,565337,4,32,670
EST,2010,646905,4,32,670
EST,2015,741570,4,32,670
EST,2020,844126,4,32,670
EST,2025,962257,4,32,670
