Region,Department_WOF,Arrondissement_WOF,population_2005,population_2010,population_2015,population_2020,population_2025,Village
ADAMAOUA,DJEREM,DIR,3416,2955,3384,3848,4309,1
ADAMAOUA,DJEREM,GALIM-TIGNÃ¨RE,0,0,0,0,0,3
ADAMAOUA,DJEREM,MARTAP,11046,19110,21882,24892,27874,14
ADAMAOUA,DJEREM,NGAOUNDAL,76272,65996,75600,85988,96292,28
ADAMAOUA,DJEREM,TABATI,0,0,0,0,0,98
ADAMAOUA,DJEREM,TIGNÃ¨RE,0,0,0,0,0,6
ADAMAOUA,FARO-ET-DEO,GALIM-TIGNÃ¨RE,0,0,0,0,0,18
ADAMAOUA,FARO-ET-DEO,KONTCHA,4608,3988,4568,5196,5820,4
ADAMAOUA,FARO-ET-DEO,MARTAP,3156,5460,6252,7112,7964,4
ADAMAOUA,FARO-ET-DEO,MAYO-BALÃ©O,0,0,0,0,0,28
ADAMAOUA,FARO-ET-DEO,TIGNÃ¨RE,0,0,0,0,0,22
ADAMAOUA,MAYO-BANYO,BANKIM,98020,84767,97092,110432,123627,29
ADAMAOUA,MAYO-BANYO,BANYO,140302,121319,138990,158055,176997,41
ADAMAOUA,MAYO-BANYO,GALIM-TIGNÃ¨RE,0,0,0,0,0,4
ADAMAOUA,MAYO-BANYO,MAYO-DARLÃ©,0,0,0,0,0,38
ADAMAOUA,MAYO-BANYO,NGAMBÃ©-TIKAR,0,0,0,0,0,4
ADAMAOUA,MAYO-BANYO,TABATI,0,0,0,0,0,2
ADAMAOUA,MBERE,BÃ©LEL,0,0,0,0,0,56
ADAMAOUA,MBERE,BÃ©TARÃ©-OYA,0,0,0,0,0,5
ADAMAOUA,MBERE,DIR,40992,35460,40608,46176,51708,12
ADAMAOUA,MBERE,DJOHONG,31624,27317,31270,35577,40104,59
ADAMAOUA,MBERE,GAROUA-BOULAÃ¯,0,0,0,0,0,9
ADAMAOUA,MBERE,MEIGANGA,132556,114762,131440,149544,167462,62
ADAMAOUA,MBERE,NGAOUI,36153,31269,35814,40734,45606,3
ADAMAOUA,MBERE,NYAMBAKA,11295,19540,22380,25460,28510,5
ADAMAOUA,VINA,BÃ©LEL,0,0,0,0,0,11
ADAMAOUA,VINA,DIR,3416,2955,3384,3848,4309,1
ADAMAOUA,VINA,MARTAP,22881,39585,45327,51562,57739,29
ADAMAOUA,VINA,MBÃ©,0,0,0,0,0,22
ADAMAOUA,VINA,NGAN'HA,0,0,0,0,0,36
ADAMAOUA,VINA,NGAOUNDAL,2724,2357,2700,3071,3439,1
ADAMAOUA,VINA,NGAOUNDÃ©RÃ© I,0,0,0,0,0,18
ADAMAOUA,VINA,NGAOUNDÃ©RÃ© II,0,0,0,0,0,7
ADAMAOUA,VINA,NGAOUNDÃ©RÃ© III,0,0,0,0,0,16
ADAMAOUA,VINA,NYAMBAKA,31626,54712,62664,71288,79828,14
ADAMAOUA,VINA,TCHOLLIRÃ©,0,0,0,0,0,1
CENTRE,HAUTE-SANAGA,AYOS,10440,9126,10602,12276,14022,18
CENTRE,HAUTE-SANAGA,BIBEY,4290,3769,4394,5105,6185,10
CENTRE,HAUTE-SANAGA,DIANG,9144,7992,9300,10764,12324,12
CENTRE,HAUTE-SANAGA,DOUMAINTANG,3495,3060,3555,4115,4705,5
CENTRE,HAUTE-SANAGA,DOUMÃ©,0,0,0,0,0,4
CENTRE,HAUTE-SANAGA,KOBDOMBO,0,0,0,0,0,1
CENTRE,HAUTE-SANAGA,LEMBE YEZOUM,3360,2955,3435,3990,4575,15
CENTRE,HAUTE-SANAGA,MBANDJOCK,4498,4062,4722,5470,6256,2
CENTRE,HAUTE-SANAGA,MBOMA,9775,8850,10275,11900,13897,25
CENTRE,HAUTE-SANAGA,MINTA,17040,14910,17310,20040,22920,30
CENTRE,HAUTE-SANAGA,NANGA-EBOKO,43946,38398,44676,51757,59203,73
CENTRE,HAUTE-SANAGA,NGUELEMENDOUKA,31512,27534,32019,37050,42393,39
CENTRE,HAUTE-SANAGA,NKOTENG,28032,25404,29492,34164,39128,73
CENTRE,HAUTE-SANAGA,NSEM,9219,8085,9387,10878,12453,21
CENTRE,HAUTE-SANAGA,YOKO,1024,902,1055,1231,1610,4
CENTRE,LEKIE,BATCHENGA,0,0,0,0,0,20
CENTRE,LEKIE,BOKITO,6680,5840,6790,7862,8992,2
CENTRE,LEKIE,BOT-MAKAK,4644,8118,9438,10932,12504,2
CENTRE,LEKIE,EBEBDA,31899,27900,32426,37541,42966,31
CENTRE,LEKIE,EDZENDOUAN,4418,3862,4490,5200,5947,1
CENTRE,LEKIE,ELIG-MFOMO,24156,21087,24552,28446,32538,33
CENTRE,LEKIE,EVODOULA,28248,24684,28710,33231,38016,33
CENTRE,LEKIE,LOBO,4563,3978,4635,5373,6138,9
CENTRE,LEKIE,MBANGASSINA,61530,53780,62510,72390,82790,10
CENTRE,LEKIE,MONATÃ©LÃ©,0,0,0,0,0,29
CENTRE,LEKIE,NGUIBASSAL,70000,61184,71136,82368,94208,16
CENTRE,LEKIE,NTUI,34965,30555,35511,41139,47061,21
CENTRE,LEKIE,NYANON,8176,7147,8316,9625,11011,7
CENTRE,LEKIE,OBALA,117900,103068,119844,138780,158796,36
CENTRE,LEKIE,OKALA,0,0,0,0,0,23
CENTRE,LEKIE,OMBESSA,1666,1457,1694,1962,2245,1
CENTRE,LEKIE,SA'A,79506,69468,80766,93534,106974,42
CENTRE,LEKIE,SOA,11424,9984,11600,13440,15376,8
CENTRE,LEKIE,YAOUNDÃ© I,0,0,0,0,0,3
CENTRE,LEKIE,YAOUNDÃ© II,0,0,0,0,0,1
CENTRE,MBAM-ET-INOUBOU,BAFIA,108660,95000,110440,127880,146260,20
CENTRE,MBAM-ET-INOUBOU,BOKITO,53440,46720,54320,62896,71936,16
CENTRE,MBAM-ET-INOUBOU,DEUK,14300,21570,25070,29040,33210,10
CENTRE,MBAM-ET-INOUBOU,KIIKI,12726,22212,25830,29916,34236,18
CENTRE,MBAM-ET-INOUBOU,KON-YAMBETTA,12976,22656,26336,30496,34896,16
CENTRE,MBAM-ET-INOUBOU,MAKENENE,9279,8109,9426,10914,12483,3
CENTRE,MBAM-ET-INOUBOU,NDIKINIMÃ©KI,0,0,0,0,0,7
CENTRE,MBAM-ET-INOUBOU,NDOM,15453,13518,15705,18189,20799,9
CENTRE,MBAM-ET-INOUBOU,NGAMBÃ©,0,0,0,0,0,4
CENTRE,MBAM-ET-INOUBOU,NGORO,10377,9069,10545,12210,13968,3
CENTRE,MBAM-ET-INOUBOU,NITOUKOU,72180,63100,73360,84950,97170,10
CENTRE,MBAM-ET-INOUBOU,NYANON,4672,4084,4752,5500,6292,4
CENTRE,MBAM-ET-INOUBOU,OMBESSA,36652,32054,37268,43164,49390,22
CENTRE,MBAM-ET-KIM,BIBEY,1716,1504,1748,2024,2316,4
CENTRE,MBAM-ET-KIM,NANGA-EBOKO,602,526,612,709,811,1
CENTRE,MBAM-ET-KIM,NGAMBÃ©-TIKAR,0,0,0,0,0,14
CENTRE,MBAM-ET-KIM,NGORO,10377,9069,10545,12210,13968,3
CENTRE,MBAM-ET-KIM,NKOTENG,768,696,808,936,1072,2
CENTRE,MBAM-ET-KIM,NTUI,3330,2910,3382,3918,4482,2
CENTRE,MBAM-ET-KIM,YOKO,17408,15232,17680,20468,23392,68
CENTRE,MEFOU-ET-AFAMBA,AFANLOUM,21384,18672,21696,25152,28800,24
CENTRE,MEFOU-ET-AFAMBA,AWAÃ©,0,0,0,0,0,37
CENTRE,MEFOU-ET-AFAMBA,DZENG,9360,8190,9542,11050,12610,26
CENTRE,MEFOU-ET-AFAMBA,EDZENDOUAN,61852,54068,62860,72800,83258,14
CENTRE,MEFOU-ET-AFAMBA,ENDOM,1260,1520,1764,2040,2332,4
CENTRE,MEFOU-ET-AFAMBA,ESSE,25146,21978,25575,29601,33891,33
CENTRE,MEFOU-ET-AFAMBA,LEMBE YEZOUM,1120,985,1145,1330,1525,5
CENTRE,MEFOU-ET-AFAMBA,MBANDJOCK,26988,24372,28332,32820,37536,12
