Region,Department_WOF,population_2005,population_2010,population_2015,population_2020,population_2025,Village
ADAMAOUA,DJEREM,90734,88061,100866,114728,128475,150
ADAMAOUA,FARO-ET-DEO,7764,9448,10820,12308,13784,76
ADAMAOUA,MAYO-BANYO,238322,206086,236082,268487,300624,118
ADAMAOUA,MBERE,252620,228348,261512,297491,333390,211
ADAMAOUA,VINA,60647,99609,114075,129769,145315,156
CENTRE,HAUTE-SANAGA,175775,155047,180222,208740,239671,332
CENTRE,LEKIE,489775,432112,502418,581823,665562,328
CENTRE,MBAM-ET-INOUBOU,350715,338092,393052,455155,520640,142
CENTRE,MBAM-ET-KIM,34201,29937,34775,40265,46041,94
CENTRE,MEFOU-ET-AFAMBA,186662,164369,191102,221369,253248,224
CENTRE,MEFOU-ET-AKONO,132625,120584,140211,162426,185694,182
CENTRE,MFOUNDI,80636,70595,82187,95529,112035,190
CENTRE,NYONG-ET-KELLE,136613,160427,186511,215969,246997,146
CENTRE,NYONG-ET-MFOUMOU,93877,105679,122811,142246,162623,429
CENTRE,NYONG-ET-SO,129240,117337,136413,157953,180630,241
EST,BOUMBA-ET-NGOKO,95550,82700,94775,107825,120775,106
EST,HAUT-NYONG,59406,51391,58913,67004,75054,158
EST,KADEI,254290,287797,329840,375315,421502,272
EST,LOM-ET-DJEREM,156091,225017,258042,293982,344926,134
EXTREME-NORD,DIAMARE,887529,1209854,1413485,1640621,1892545,421
EXTREME-NORD,LOGONE-ET-CHARI,287415,253320,295571,342708,391237,741
EXTREME-NORD,MAYO-DANAY,594172,525843,613683,711377,812142,309
EXTREME-NORD,MAYO-KANI,235224,212370,247969,287630,330184,247
EXTREME-NORD,MAYO-SAVA,453309,403240,470596,545599,622920,488
EXTREME-NORD,MAYO-TSANAGA,613523,540872,631574,732669,842786,642
LITTORAL,MOUNGO,223852,225545,260957,300884,342863,159
LITTORAL,NKAM,43969,38455,44479,51265,58678,72
LITTORAL,SANAGA-MARITIME,54847,62150,71949,82947,94512,214
LITTORAL,WOURI,2984604,5103658,5904623,6808428,7757692,188
NORD,BENOUE,614511,893190,1039179,1201635,1406997,530
NORD,FARO,102927,97293,112656,129731,147269,312
NORD,MAYO-LOUTI,590995,517759,600536,692204,790448,621
NORD,MAYO-REY,416942,365310,423525,487792,554641,313
NORD-OUEST,BOYO,154395,134857,156227,179914,204174,38
NORD-OUEST,BUI,383145,405569,469838,541068,614094,31
NORD-OUEST,DONGA-MANTUNG,312238,272784,316010,363938,413054,41
NORD-OUEST,MENCHUM,59848,52288,60572,69764,79172,94
NORD-OUEST,MEZAM,198533,173458,200953,231425,262653,90
NORD-OUEST,MOMO,192867,168489,195193,224754,256089,223
NORD-OUEST,NGO-KETUNJIA,373770,326510,378231,435513,495383,147
OUEST,BAMBOUTOS,429582,374400,431496,494463,558592,296
OUEST,HAUT-NKAM,261680,327422,377295,432372,488584,156
OUEST,HAUTS-PLATEAUX,148123,138134,159236,182529,206281,181
OUEST,KOUNG-KHI,64036,68660,79124,90688,107366,121
OUEST,MENOUA,265356,230377,265440,304215,343778,391
OUEST,MIFI,583217,873653,1006839,1153882,1305986,243
OUEST,NDE,83990,73537,84728,97069,109687,150
OUEST,NOUN,421657,398270,458990,525944,595262,287
SUD,DJA-ET-LOBO,98729,97295,110981,125697,140323,217
SUD,MVILA,188044,267553,305237,345865,386104,400
SUD,OCEAN,167692,242900,277124,314102,350552,203
SUD,VALLEE-DU-NTEM,106334,133648,152508,172818,192854,222
SUD-OUEST,FAKO,515668,448108,515889,590861,672018,148
SUD-OUEST,KUPE-MANENGUBA,150806,146462,168685,193150,218187,165
SUD-OUEST,LEBIALEM,144713,125575,144558,165583,187052,119
SUD-OUEST,MANYU,105836,91813,105719,121097,136827,167
SUD-OUEST,MEME,444405,596166,686406,786195,896262,150
SUD-OUEST,NDIAN,90661,78660,90524,103758,117270,210
