Region,population_2005,population_2010,population_2015,population_2020,population_2025,Village
ADAMAOUA,650087,631552,723355,822783,921588,711
CENTRE,1810119,1694179,1969702,2281475,2613141,2308
EST,565337,646905,741570,844126,962257,670
EXTREME-NORD,3071172,3145499,3672878,4260604,4891814,2848
LITTORAL,3307272,5429808,6282008,7243524,8253745,633
NORD,1725375,1873552,2175896,2511362,2899355,1776
NORD-OUEST,1674796,1533955,1777024,2046376,2324619,664
OUEST,2257641,2484453,2863148,3281162,3715536,1825
SUD,560799,741396,845850,958482,1069833,1042
SUD-OUEST,1452089,1486784,1711781,1960644,2227616,959
